id,boosterPackId,itemType,itemId,weight,isEnable
PH_1,PACK_HUMAN,Unit,UN_SOLDIER,1.0,True
PH_2,PACK_HUMAN,Unit,UN_ARCHER,1.0,True
PH_3,PACK_HUMAN,Unit,UN_WIZARD,1.0,True
PU_1,PACK_UNDEAD,Unit,UN_SLIME,1.0,True
PU_2,PACK_UNDEAD,Unit,UN_BAT,1.0,True
PU_3,PACK_UNDEAD,Unit,UN_SKELETON,1.0,True
PB_1,PACK_BEAST,Unit,UN_ORC,1.0,True
PD_1,PACK_DEMON,Unit,UN_DEMON_A,1.0,True
PD_2,PACK_DEMON,Unit,UN_DEMON_B,1.0,True
PI_1,PACK_INFERNAL,Unit,UN_LAVA_SLIME,1.0,True
PI_2,PACK_INFERNAL,Unit,UN_HELLBAT,1.0,True
PI_3,PACK_INFERNAL,Unit,UN_GHOSTFIRE,1.0,True
PI_4,PACK_INFERNAL,Unit,UN_BLOOD_MONSTER_B,1.0,True
