id,inputUnit1,inputUnit2,inputUnit3,outputUnit,wildcardGrade,requiredCount,nameKey,tags,isEnable
FR_GRADEUP_COMMON,,,,,Common,2,FUSION_GRADEUP_COMMON_NAME,GradeUp,True
FR_GRADEUP_RARE,,,,,Rare,2,FUSION_GRADEUP_RARE_NAME,GradeUp,True
FR_ANGEL_PRIEST,UN_SOLDIER,UN_WIZARD,,UN_PRIEST,,0,,Angel,True
FR_ANGEL_KNIGHT,UN_SWORDSMAN,UN_LANCER,,UN_KNIGHT,,0,,Angel,True
FR_0025,UN_KNIGHT,UN_ARMORED_AXEMAN,,UN_KNIGHT_TEMPLAR,,0,,Legendary,True
FR_0028,UN_ARMORED_ORC,UN_ORC_RIDER,,UN_ELITE_ORC,,0,,Legendary,True
FR_0029,UN_SWORDSMAN,UN_LANCER,,UN_GRAND_GENERAL,,0,,Legendary,True
FR_0030,UN_DEMON_D,UN_WARLOCK,,UN_DEMON_E,,0,,Legendary,True
FR_0031,UN_BLACK_KNIGHT_B,UN_DEMONESS_B,,UN_BLACK_KNIGHT_C,,0,,Legendary,True
FR_0026,UN_ARMORED_SKELETON,UN_GREATSWORD_SKELETON,,UN_NECROMANCER,,0,,Legendary,True
FR_0027,UN_FLAME_GOLEM,UN_WARLOCK,,UN_MINOTAUR,,0,,Legendary,True
