id,EN,KR,JP,CN,isEnable
SkillTree_AllyCap_Name,,,,,TRUE
SkillTree_WaveGold_Name,,,,,TRUE
SkillTree_DiceReroll_Name,,,,,TRUE
SkillTree_Unit4Star_Name,,,,,TRUE
SkillTree_Dice2Star_Name,,,,,TRUE
SkillTree_AllyStat_Name,,,,,TRUE
SkillTree_LineageDmg_Name,,,,,TRUE
SkillTree_DiceFace_Name,,,,,TRUE
SkillTree_StartGold_Name,,,,,TRUE
SkillTree_AllyCap_Desc,,,,,TRUE
SkillTree_WaveGold_Desc,,,,,TRUE
SkillTree_DiceReroll_Desc,,,,,TRUE
SkillTree_Unit4Star_Desc,,,,,TRUE
SkillTree_Dice2Star_Desc,,,,,TRUE
SkillTree_AllyStat_Desc,,,,,TRUE
SkillTree_LineageDmg_Desc,,,,,TRUE
SkillTree_DiceFace_Desc,,,,,TRUE
SkillTree_StartGold_Desc,,,,,TRUE
