id,prefab,isEnable,soundId
HitEffect01,SkillEffect/PF_HitEffect01.prefab,TRUE,SwordAttack01
ArrowEffect01,SkillEffect/PF_ArrowEffect01.prefab,TRUE,BowAttack01
ArrowEffect02,SkillEffect/PF_ArrowEffect02.prefab,TRUE,BowAttack02
MagicEffect01,SkillEffect/PF_MagicEffect01.prefab,TRUE,
HealEffect01,SkillEffect/PF_HealEffect01.prefab,TRUE,
Debuff_Burn01,SkillEffect/Prefabs/Debuff/PF_Debuff_Burn01.prefab,TRUE,
Debuff_Curse01,SkillEffect/Prefabs/Debuff/PF_Debuff_Curse01.prefab,TRUE,
Debuff_Freeze01,SkillEffect/Prefabs/Debuff/PF_Debuff_Freeze01.prefab,TRUE,
Debuff_Poison01,SkillEffect/Prefabs/Debuff/PF_Debuff_Poison01.prefab,TRUE,
Debuff_Stun01,SkillEffect/Prefabs/Debuff/PF_Debuff_Stun01.prefab,TRUE,
Debuff_Weaken01,SkillEffect/Prefabs/Debuff/PF_Debuff_Weaken01.prefab,TRUE,
Hit_Blood01,SkillEffect/Prefabs/Impact/PF_Hit_Blood01.prefab,TRUE,
Hit_Claw01,SkillEffect/Prefabs/Impact/PF_Hit_Claw01.prefab,TRUE,
Hit_Critical01,SkillEffect/Prefabs/Impact/PF_Hit_Critical01.prefab,TRUE,
Hit_Crush01,SkillEffect/Prefabs/Impact/PF_Hit_Crush01.prefab,TRUE,
Hit_Heavy01,SkillEffect/Prefabs/Impact/PF_Hit_Heavy01.prefab,TRUE,
Hit_Pierce01,SkillEffect/Prefabs/Impact/PF_Hit_Pierce01.prefab,TRUE,
Hit_Shatter01,SkillEffect/Prefabs/Impact/PF_Hit_Shatter01.prefab,TRUE,
Hit_Shockwave01,SkillEffect/Prefabs/Impact/PF_Hit_Shockwave01.prefab,TRUE,
Hit_Slash01,SkillEffect/Prefabs/Impact/PF_Hit_Slash01.prefab,TRUE,
Hit_Slash02,SkillEffect/Prefabs/Impact/PF_Hit_Slash02.prefab,TRUE,
Hit_Spark01,SkillEffect/Prefabs/Impact/PF_Hit_Spark01.prefab,TRUE,
Hit_Splash01,SkillEffect/Prefabs/Impact/PF_Hit_Splash01.prefab,TRUE,
Support_BuffAttack01,SkillEffect/Prefabs/Support/PF_Support_BuffAttack01.prefab,TRUE,
Support_BuffDefense01,SkillEffect/Prefabs/Support/PF_Support_BuffDefense01.prefab,TRUE,
SupportBuffSpeed01,SkillEffect/Prefabs/Support/PF_Support_BuffSpeed01.prefab,TRUE,
Support_HealBurst01,SkillEffect/Prefabs/Support/PF_Support_HealBurst01.prefab,TRUE,
Support_Regen01,SkillEffect/Prefabs/Support/PF_Support_Regen01.prefab,TRUE,
Support_Revive01,SkillEffect/Prefabs/Support/PF_Support_Revive01.prefab,TRUE,
Support_Shield01,SkillEffect/Prefabs/Support/PF_Support_Shield01.prefab,TRUE,
SlashWide01,SkillEffect/Prefabs/Slash/PF_Slash_Wide01.prefab,TRUE,
Slash_Arc01,SkillEffect/Prefabs/Slash/PF_Slash_Arc01.prefab,TRUE,
Slash_Cross01,SkillEffect/Prefabs/Slash/PF_Slash_Cross01.prefab,TRUE,
Slash_Storm01,SkillEffect/Prefabs/Slash/PF_Slash_Storm01.prefab,TRUE,
Proj_Star01,SkillEffect/Prefabs/Projectile/PF_Proj_Star01.prefab,TRUE,
Proj_ArcaneBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_ArcaneBolt01.prefab,TRUE,
Proj_ArrowPierce01,SkillEffect/Prefabs/Projectile/PF_Proj_ArrowPierce01.prefab,TRUE,
Proj_DarkBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_DarkBolt01.prefab,TRUE,
Proj_FireBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_FireBolt01.prefab,TRUE,
Proj_HolyBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_HolyBolt01.prefab,TRUE,
ProjIceBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_IceBolt01.prefab,TRUE,
Proj_PoisonBolt01,SkillEffect/Prefabs/Projectile/PF_Proj_PoisonBolt01.prefab,TRUE,
Proj_Rock01,SkillEffect/Prefabs/Projectile/PF_Proj_Rock01.prefab,TRUE,
Magic_Summon01,SkillEffect/Prefabs/Magic/PF_Magic_Summon01.prefab,TRUE,
Magic_Arcane01,SkillEffect/Prefabs/Magic/PF_Magic_Arcane01.prefab,TRUE,
Magic_Dark01,SkillEffect/Prefabs/Magic/PF_Magic_Dark01.prefab,TRUE,
Magic_Explosion01,SkillEffect/Prefabs/Magic/PF_Magic_Explosion01.prefab,TRUE,
Magic_Fire01,SkillEffect/Prefabs/Magic/PF_Magic_Fire01.prefab,TRUE,
Magic_Holy01,SkillEffect/Prefabs/Magic/PF_Magic_Holy01.prefab,TRUE,
MagicIce01,SkillEffect/Prefabs/Magic/PF_Magic_Ice01.prefab,TRUE,
Magic_Lightning01,SkillEffect/Prefabs/Magic/PF_Magic_Lightning01.prefab,TRUE,
Magic_Meteor01,SkillEffect/Prefabs/Magic/PF_Magic_Meteor01.prefab,TRUE,
Magic_Necro01,SkillEffect/Prefabs/Magic/PF_Magic_Necro.prefab,TRUE,
Magic_Nova01,SkillEffect/Prefabs/Magic/PF_Magic_Nova01.prefab,TRUE,
Magic_Poison01,SkillEffect/Prefabs/Magic/PF_Magic_Poison01.prefab,TRUE,
Magic_Star01,SkillEffect/Prefabs/Magic/PF_Magic_Star01.prefab,TRUE,
