id,audio,isEnable
BowAttack01,SFX/Bow Attack 1.asset,TRUE
BowAttack02,SFX/Bow Attack 2.asset,TRUE
BowBlocked01,SFX/Bow Blocked 1.asset,TRUE
BowBlocked02,SFX/Bow Blocked 2.asset,TRUE
BowBlocked03,SFX/Bow Blocked 3.asset,TRUE
BowImpactHit01,SFX/Bow Impact Hit 1.asset,TRUE
BowImpactHit02,SFX/Bow Impact Hit 2.asset,TRUE
BowImpactHit03,SFX/Bow Impact Hit 3.asset,TRUE
BowPutAway01,SFX/Bow Put Away 1.asset,TRUE
BowTakeOut01,SFX/Bow Take Out 1.asset,TRUE
ChestClose01,SFX/Chest Close 1.asset,TRUE
ChestClose02,SFX/Chest Close 2.asset,TRUE
ChestOpen01,SFX/Chest Open 1.asset,TRUE
ChestOpen02,SFX/Chest Open 2.asset,TRUE
DirtChainJump,SFX/Dirt Chain Jump.asset,TRUE
DirtChainLand,SFX/Dirt Chain Land.asset,TRUE
DirtChainRun01,SFX/Dirt Chain Run 1.asset,TRUE
DirtChainRun02,SFX/Dirt Chain Run 2.asset,TRUE
DirtChainRun03,SFX/Dirt Chain Run 3.asset,TRUE
DirtChainRun04,SFX/Dirt Chain Run 4.asset,TRUE
DirtChainRun05,SFX/Dirt Chain Run 5.asset,TRUE
DirtChainWalk01,SFX/Dirt Chain Walk 1.asset,TRUE
DirtChainWalk02,SFX/Dirt Chain Walk 2.asset,TRUE
DirtChainWalk03,SFX/Dirt Chain Walk 3.asset,TRUE
DirtChainWalk04,SFX/Dirt Chain Walk 4.asset,TRUE
DirtChainWalk05,SFX/Dirt Chain Walk 5.asset,TRUE
DirtJump,SFX/Dirt Jump.asset,TRUE
DirtLand,SFX/Dirt Land.asset,TRUE
DirtRun01,SFX/Dirt Run 1.asset,TRUE
DirtRun02,SFX/Dirt Run 2.asset,TRUE
DirtRun03,SFX/Dirt Run 3.asset,TRUE
DirtRun04,SFX/Dirt Run 4.asset,TRUE
DirtRun05,SFX/Dirt Run 5.asset,TRUE
DirtWalk01,SFX/Dirt Walk 1.asset,TRUE
DirtWalk02,SFX/Dirt Walk 2.asset,TRUE
DirtWalk03,SFX/Dirt Walk 3.asset,TRUE
DirtWalk04,SFX/Dirt Walk 4.asset,TRUE
DirtWalk05,SFX/Dirt Walk 5.asset,TRUE
DoorClose01,SFX/Door Close 1.asset,TRUE
DoorClose02,SFX/Door Close 2.asset,TRUE
DoorOpen01,SFX/Door Open 1.asset,TRUE
DoorOpen02,SFX/Door Open 2.asset,TRUE
Fireball01,SFX/Fireball 1.asset,TRUE
Fireball02,SFX/Fireball 2.asset,TRUE
Fireball03,SFX/Fireball 3.asset,TRUE
Firebuff01,SFX/Firebuff 1.asset,TRUE
Firebuff02,SFX/Firebuff 2.asset,TRUE
Firespray01,SFX/Firespray 1.asset,TRUE
Firespray02,SFX/Firespray 2.asset,TRUE
GateClose,SFX/Gate Close.asset,TRUE
GateOpen,SFX/Gate Open.asset,TRUE
IceBarrage01,SFX/Ice Barrage 1.asset,TRUE
IceBarrage02,SFX/Ice Barrage 2.asset,TRUE
IceFreeze01,SFX/Ice Freeze 1.asset,TRUE
IceFreeze02,SFX/Ice Freeze 2.asset,TRUE
IceThrow01,SFX/Ice Throw 1.asset,TRUE
IceThrow02,SFX/Ice Throw 2.asset,TRUE
IceWall01,SFX/Ice Wall 1.asset,TRUE
IceWall02,SFX/Ice Wall 2.asset,TRUE
LightTorch01,SFX/Light Torch 1.asset,TRUE
LightTorch02,SFX/Light Torch 2.asset,TRUE
LightTorchWithStartingLoop01,SFX/Light Torch with Starting Loop 1.asset,TRUE
LightTorchWithStartingLoop02,SFX/Light Torch with Starting Loop 2.asset,TRUE
LockUnlock,SFX/Lock Unlock.asset,TRUE
PortcullisGate,SFX/Portcullis Gate.asset,TRUE
RiverLoop,SFX/River Loop.asset,TRUE
RiverStreamLoop,SFX/River Stream Loop.asset,TRUE
RockMeteorSwarm01,SFX/Rock Meteor Swarm 1.asset,TRUE
RockMeteorSwarm02,SFX/Rock Meteor Swarm 2.asset,TRUE
RockMeteorThrow01,SFX/Rock Meteor Throw 1.asset,TRUE
RockMeteorThrow02,SFX/Rock Meteor Throw 2.asset,TRUE
RockWall01,SFX/Rock Wall 1.asset,TRUE
RockWall02,SFX/Rock Wall 2.asset,TRUE
SpellImpact01,SFX/Spell Impact 1.asset,TRUE
SpellImpact02,SFX/Spell Impact 2.asset,TRUE
SpellImpact03,SFX/Spell Impact 3.asset,TRUE
StoneChainJump,SFX/Stone Chain Jump.asset,TRUE
StoneChainLand,SFX/Stone Chain Land.asset,TRUE
StoneChainRun01,SFX/Stone Chain Run 1.asset,TRUE
StoneChainRun02,SFX/Stone Chain Run 2.asset,TRUE
StoneChainRun03,SFX/Stone Chain Run 3.asset,TRUE
StoneChainRun04,SFX/Stone Chain Run 4.asset,TRUE
StoneChainRun05,SFX/Stone Chain Run 5.asset,TRUE
StoneChainWalk01,SFX/Stone Chain Walk 1.asset,TRUE
StoneChainWalk02,SFX/Stone Chain Walk 2.asset,TRUE
StoneChainWalk03,SFX/Stone Chain Walk 3.asset,TRUE
StoneChainWalk04,SFX/Stone Chain Walk 4.asset,TRUE
StoneChainWalk05,SFX/Stone Chain Walk 5.asset,TRUE
StoneJump,SFX/Stone Jump.asset,TRUE
StoneLand,SFX/Stone Land.asset,TRUE
StoneRun01,SFX/Stone Run 1.asset,TRUE
StoneRun02,SFX/Stone Run 2.asset,TRUE
StoneRun03,SFX/Stone Run 3.asset,TRUE
StoneRun04,SFX/Stone Run 4.asset,TRUE
StoneRun05,SFX/Stone Run 5.asset,TRUE
StoneWalk01,SFX/Stone Walk 1.asset,TRUE
StoneWalk02,SFX/Stone Walk 2.asset,TRUE
StoneWalk03,SFX/Stone Walk 3.asset,TRUE
StoneWalk04,SFX/Stone Walk 4.asset,TRUE
StoneWalk05,SFX/Stone Walk 5.asset,TRUE
SwordAttack01,SFX/Sword Attack 1.asset,TRUE
SwordAttack02,SFX/Sword Attack 2.asset,TRUE
SwordAttack03,SFX/Sword Attack 3.asset,TRUE
SwordBlocked01,SFX/Sword Blocked 1.asset,TRUE
SwordBlocked02,SFX/Sword Blocked 2.asset,TRUE
SwordBlocked03,SFX/Sword Blocked 3.asset,TRUE
SwordImpactHit01,SFX/Sword Impact Hit 1.asset,TRUE
SwordImpactHit02,SFX/Sword Impact Hit 2.asset,TRUE
SwordImpactHit03,SFX/Sword Impact Hit 3.asset,TRUE
SwordParry01,SFX/Sword Parry 1.asset,TRUE
SwordParry02,SFX/Sword Parry 2.asset,TRUE
SwordParry03,SFX/Sword Parry 3.asset,TRUE
SwordSheath01,SFX/Sword Sheath 1.asset,TRUE
SwordSheath02,SFX/Sword Sheath 2.asset,TRUE
SwordUnsheath01,SFX/Sword Unsheath 1.asset,TRUE
SwordUnsheath02,SFX/Sword Unsheath 2.asset,TRUE
TorchAttackStrike01,SFX/Torch Attack Strike 1.asset,TRUE
TorchAttackStrike02,SFX/Torch Attack Strike 2.asset,TRUE
TorchImpact01,SFX/Torch Impact 1.asset,TRUE
TorchImpact02,SFX/Torch Impact 2.asset,TRUE
TorchLoop,SFX/Torch Loop.asset,TRUE
WaterChainJump,SFX/Water Chain Jump.asset,TRUE
WaterChainLand,SFX/Water Chain Land.asset,TRUE
WaterChainRun01,SFX/Water Chain Run 1.asset,TRUE
WaterChainRun02,SFX/Water Chain Run 2.asset,TRUE
WaterChainRun03,SFX/Water Chain Run 3.asset,TRUE
WaterChainRun04,SFX/Water Chain Run 4.asset,TRUE
WaterChainRun05,SFX/Water Chain Run 5.asset,TRUE
WaterChainWalk01,SFX/Water Chain Walk 1.asset,TRUE
WaterChainWalk02,SFX/Water Chain Walk 2.asset,TRUE
WaterChainWalk03,SFX/Water Chain Walk 3.asset,TRUE
WaterChainWalk04,SFX/Water Chain Walk 4.asset,TRUE
WaterChainWalk05,SFX/Water Chain Walk 5.asset,TRUE
WaterJump,SFX/Water Jump.asset,TRUE
WaterLand,SFX/Water Land.asset,TRUE
WaterRun01,SFX/Water Run 1.asset,TRUE
WaterRun02,SFX/Water Run 2.asset,TRUE
WaterRun03,SFX/Water Run 3.asset,TRUE
WaterRun04,SFX/Water Run 4.asset,TRUE
WaterRun05,SFX/Water Run 5.asset,TRUE
WaterWalk01,SFX/Water Walk 1.asset,TRUE
WaterWalk02,SFX/Water Walk 2.asset,TRUE
