index,numberOfEnemy,isEnable,waveRewardGold,roundType
0,5,TRUE,100,Pvp
1,6,TRUE,112,Pvp
2,6,TRUE,124,Pvp
3,6,TRUE,136,Pvp
4,7,TRUE,150,Pvp
5,8,TRUE,165,Pvp
6,8,TRUE,180,Pvp
7,9,TRUE,195,Pvp
8,10,TRUE,210,Pvp
9,5,TRUE,260,Pvp
10,10,TRUE,240,Pvp
11,10,TRUE,255,Pvp
12,11,TRUE,270,Pvp
13,12,TRUE,285,Pvp
14,13,TRUE,320,Pvp
15,10,TRUE,300,Pvp
16,10,TRUE,315,Pvp
17,11,TRUE,330,Pvp
18,12,TRUE,345,Pvp
19,9,TRUE,420,Pvp
20,7,TRUE,360,Pvp
21,7,TRUE,380,Pvp
22,8,TRUE,400,Pvp
23,8,TRUE,420,Pvp
24,9,TRUE,470,Pvp
25,7,TRUE,440,Pvp
26,8,TRUE,460,Pvp
27,9,TRUE,480,Pvp
28,8,TRUE,500,Pvp
29,11,TRUE,600,Pvp
