id,KR,EN,isEnable,Category
GRADE_COMMON,일반,Common,TRUE,Grade
GRADE_RARE,희귀,Rare,TRUE,Grade
GRADE_EPIC,영웅,Epic,TRUE,Grade
GRADE_LEGENDARY,전설,Legendary,TRUE,Grade
GRADE_BOSS,보스,Boss,TRUE,Grade
MAT_MANA_STONE_NAME,하급 마력석,Lesser Mana Stone,TRUE,Material
MAT_MANA_STONE_DESC,마력을 굳혀 만든 조각.,Raw magic condensed into a shard.,TRUE,Material
MAT_HOLY_WATER_NAME,축복받은 성수,Blessed Holy Water,TRUE,Material
MAT_HOLY_WATER_DESC,몸을 단단하게 만드는 물.,Water that hardens flesh against harm.,TRUE,Material
MAT_HARD_STEEL_NAME,단단한 강철,Hardened Steel,TRUE,Material
MAT_HARD_STEEL_DESC,아무것도 물어뜯지 못할 때까지 벼린 강철.,Steel folded until nothing bites it.,TRUE,Material
MAT_MAGIC_SCROLL_NAME,고위 마법 스크롤,Arcane Scroll,TRUE,Material
MAT_MAGIC_SCROLL_DESC,모든 주문을 날카롭게 다듬는 두루마리.,A scroll that sharpens every incantation.,TRUE,Material
MAT_JOKER_CORE_NAME,빛나는 조커 코어,Shining Joker Core,TRUE,Material
MAT_JOKER_CORE_DESC,주사위의 운을 그대로 굳힌 핵.,"The die's own luck, made solid.",TRUE,Material
HAND_ONE_PAIR,원 페어,One Pair,TRUE,DiceHand
HAND_TWO_PAIR,투 페어,Two Pair,TRUE,DiceHand
HAND_TRIPLE,트리플,Triple,TRUE,DiceHand
HAND_S_STRAIGHT,스몰 스트레이트,Small Straight,TRUE,DiceHand
HAND_FULL_HOUSE,풀 하우스,Full House,TRUE,DiceHand
HAND_FOUR_KIND,포 카드,Four of a Kind,TRUE,DiceHand
HAND_L_STRAIGHT,라지 스트레이트,Large Straight,TRUE,DiceHand
HAND_FIVE_KIND,파이브 카드,Five of a Kind,TRUE,DiceHand
UN_SOLDIER_NAME,병사,Soldier,TRUE,Unit
UN_SOLDIER_DESC,전열을 지키며 물러서지 않는다.,Holds the front rank and never gives ground.,TRUE,Unit
UN_ARCHER_NAME,궁수,Archer,TRUE,Unit
UN_ARCHER_DESC,후열에서 어느 열이든 골라 쏜다.,Picks off any column from the safety of the rear.,TRUE,Unit
UN_SWORDSMAN_NAME,검사,Swordsman,TRUE,Unit
UN_SWORDSMAN_DESC,한 번의 회전으로 전열을 쓸어버린다.,Sweeps the entire front column with one turn of the blade.,TRUE,Unit
UN_LANCER_NAME,창병,Lancer,TRUE,Unit
UN_LANCER_DESC,후열에서도 둘째 열까지 닿는 긴 창.,Long enough to strike the second column from the back rank.,TRUE,Unit
UN_PRIEST_NAME,사제,Priest,TRUE,Unit
UN_PRIEST_DESC,뒤에서 빛으로 전열을 세워둔다.,Keeps the line standing with light from behind.,TRUE,Unit
UN_AXEMAN_NAME,중장 도끼병,Armored Axeman,TRUE,Unit
UN_AXEMAN_DESC,땅을 갈라 전열 전체를 둔하게 만든다.,Splits the ground and dulls everything in the front column.,TRUE,Unit
UN_WIZARD_NAME,마법사,Wizard,TRUE,Unit
UN_WIZARD_DESC,가장 뭉친 열 위로 불을 떨어뜨린다.,Drops fire on whichever column has clustered.,TRUE,Unit
UN_KNIGHT_NAME,기사,Knight,TRUE,Unit
UN_KNIGHT_DESC,모든 칼끝을 자신에게 모아 후열을 지킨다.,Pulls every blade onto himself so the rear may work.,TRUE,Unit
UN_TEMPLAR_NAME,성전 기사단장,Knight Templar,TRUE,Unit
UN_TEMPLAR_DESC,전장 전체를 한 번에 심판하는 최종 영웅.,"The final hero, judging the whole field at once.",TRUE,Unit
UN_SLIME_NAME,슬라임,Slime,TRUE,Unit
UN_SLIME_DESC,방어구를 갉아먹는 성가신 존재.,A crawling nuisance that eats through armor.,TRUE,Unit
UN_BAT_NAME,박쥐,Bat,TRUE,Unit
UN_BAT_DESC,후열에서 울어 아군의 박자를 흐트러뜨린다.,Screeches from the rear to dull your tempo.,TRUE,Unit
UN_SKELETON_NAME,해골,Skeleton,TRUE,Unit
UN_SKELETON_DESC,좀처럼 눕지 않는 뼈다귀.,Bones that refuse to stay down.,TRUE,Unit
UN_SKELARCHER_NAME,해골 궁수,Skeleton Archer,TRUE,Unit
UN_SKELARCHER_DESC,전열 너머 후열로 독을 넘긴다.,Arcs venom over the front line into your rear.,TRUE,Unit
UN_ORC_NAME,오크,Orc,TRUE,Unit
UN_ORC_DESC,싸우는 도중 스스로 격앙된다.,Works itself into a frenzy mid-fight.,TRUE,Unit
UN_WEREWOLF_NAME,늑대인간,Werewolf,TRUE,Unit
